n,m,dims,k,time_dist,time_sort,serial_parallel,distance_function,sort_function
300,150,2,5,0.001728,0.040537,serial,manhattan,insertion
300,150,2,5,0.004604,0.007052,parallel,manhattan,insertion
300,250,2,5,0.002769,0.059608,serial,manhattan,insertion
300,250,2,5,0.006457,0.009636,parallel,manhattan,insertion
300,350,2,5,0.002722,0.083156,serial,manhattan,insertion
300,350,2,5,0.009050,0.017512,parallel,manhattan,insertion
300,450,2,5,0.004682,0.106958,serial,manhattan,insertion
300,450,2,5,0.006217,0.018689,parallel,manhattan,insertion
400,50,2,5,0.000561,0.021986,serial,manhattan,insertion
400,50,2,5,0.000601,0.002252,parallel,manhattan,insertion
400,150,2,5,0.001664,0.063483,serial,manhattan,insertion
400,150,2,5,0.002666,0.009651,parallel,manhattan,insertion
400,250,2,5,0.002620,0.105509,serial,manhattan,insertion
400,250,2,5,0.004513,0.015314,parallel,manhattan,insertion
400,350,2,5,0.003527,0.147687,serial,manhattan,insertion
400,350,2,5,0.010469,0.022551,parallel,manhattan,insertion
400,450,2,5,0.004380,0.190386,serial,manhattan,insertion
400,450,2,5,0.009459,0.019660,parallel,manhattan,insertion
500,50,2,5,0.000704,0.033138,serial,manhattan,insertion
500,50,2,5,0.002791,0.007347,parallel,manhattan,insertion
500,150,2,5,0.002807,0.101002,serial,manhattan,insertion
500,150,2,5,0.004953,0.016322,parallel,manhattan,insertion
500,250,2,5,0.003152,0.162772,serial,manhattan,insertion
500,250,2,5,0.015693,0.023742,parallel,manhattan,insertion
500,350,2,5,0.004126,0.228065,serial,manhattan,insertion
500,350,2,5,0.013541,0.023834,parallel,manhattan,insertion
500,450,2,5,0.005142,0.281901,serial,manhattan,insertion
500,450,2,5,0.013989,0.033736,parallel,manhattan,insertion
600,50,2,5,0.000784,0.047253,serial,manhattan,insertion
600,50,2,5,0.003810,0.008586,parallel,manhattan,insertion
600,150,2,5,0.002365,0.136438,serial,manhattan,insertion
600,150,2,5,0.005266,0.018865,parallel,manhattan,insertion
600,250,2,5,0.003567,0.233307,serial,manhattan,insertion
600,250,2,5,0.012320,0.025280,parallel,manhattan,insertion
600,350,2,5,0.004713,0.301713,serial,manhattan,insertion
600,350,2,5,0.010444,0.032007,parallel,manhattan,insertion
600,450,2,5,0.005837,0.357074,serial,manhattan,insertion
600,450,2,5,0.013111,0.043530,parallel,manhattan,insertion
10000,50,2,5,0.017353,0.090189,serial,euclidean,quick
10000,50,2,5,0.005134,0.014831,parallel,euclidean,quick
10000,150,2,5,0.050198,0.250385,serial,euclidean,quick
10000,150,2,5,0.018068,0.023331,parallel,euclidean,quick
10000,250,2,5,0.084026,0.378917,serial,euclidean,quick
10000,250,2,5,0.025021,0.033512,parallel,euclidean,quick
10000,350,2,5,0.118210,0.564155,serial,euclidean,quick
10000,350,2,5,0.030604,0.045470,parallel,euclidean,quick
10000,450,2,5,0.151910,0.648790,serial,euclidean,quick
10000,450,2,5,0.034854,0.054268,parallel,euclidean,quick
15000,50,2,5,0.025110,0.140295,serial,euclidean,quick
15000,50,2,5,0.006986,0.012689,parallel,euclidean,quick
15000,150,2,5,0.075309,0.354515,serial,euclidean,quick
15000,150,2,5,0.014607,0.028859,parallel,euclidean,quick
15000,250,2,5,0.125203,0.633762,serial,euclidean,quick
15000,250,2,5,0.026262,0.044523,parallel,euclidean,quick
15000,350,2,5,0.175821,0.810402,serial,euclidean,quick
15000,350,2,5,0.039058,0.053796,parallel,euclidean,quick
15000,450,2,5,0.224441,0.992507,serial,euclidean,quick
15000,450,2,5,0.048849,0.075428,parallel,euclidean,quick
20000,50,2,5,0.030196,0.160386,serial,euclidean,quick
20000,50,2,5,0.012863,0.020191,parallel,euclidean,quick
20000,150,2,5,0.078911,0.448477,serial,euclidean,quick
20000,150,2,5,0.021668,0.037791,parallel,euclidean,quick
20000,250,2,5,0.166708,0.736320,serial,euclidean,quick
20000,250,2,5,0.032034,0.062620,parallel,euclidean,quick
20000,350,2,5,0.227062,1.014034,serial,euclidean,quick
20000,350,2,5,0.043692,0.075038,parallel,euclidean,quick
20000,450,2,5,0.305103,1.467866,serial,euclidean,quick
20000,450,2,5,0.057683,0.100493,parallel,euclidean,quick
25000,50,2,5,0.043982,0.245005,serial,euclidean,quick
25000,50,2,5,0.008008,0.020737,parallel,euclidean,quick
25000,150,2,5,0.124592,0.565018,serial,euclidean,quick
25000,150,2,5,0.024953,0.051430,parallel,euclidean,quick
25000,250,2,5,0.208147,0.960371,serial,euclidean,quick
25000,250,2,5,0.038005,0.072638,parallel,euclidean,quick
25000,350,2,5,0.293551,1.372081,serial,euclidean,quick
25000,350,2,5,0.043125,0.097807,parallel,euclidean,quick
25000,450,2,5,0.350455,1.707020,serial,euclidean,quick
25000,450,2,5,0.059291,0.119680,parallel,euclidean,quick
30000,50,2,5,0.049332,0.286409,serial,euclidean,quick
30000,50,2,5,0.012751,0.026394,parallel,euclidean,quick
30000,150,2,5,0.148244,0.713395,serial,euclidean,quick
30000,150,2,5,0.020879,0.057069,parallel,euclidean,quick
30000,250,2,5,0.246316,1.291492,serial,euclidean,quick
30000,250,2,5,0.038705,0.077519,parallel,euclidean,quick
30000,350,2,5,0.326210,1.715676,serial,euclidean,quick
30000,350,2,5,0.048487,0.116417,parallel,euclidean,quick
30000,450,2,5,0.422925,2.123974,serial,euclidean,quick
30000,450,2,5,0.077666,0.141321,parallel,euclidean,quick
10000,50,2,5,0.008610,0.090274,serial,manhattan,quick
10000,50,2,5,0.005345,0.017507,parallel,manhattan,quick
10000,150,2,5,0.026298,0.260365,serial,manhattan,quick
